ref_area.label,indicator.label,source.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2017,863.212,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2017,552.113,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2017,316.214,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2017,102.806,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2017,2970.132,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2017,770.993,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2017,432.66,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2017,377.755,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2017,569.813,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2017,468.745,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2017,278.983,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2017,76.178,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2017,2138.736,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2017,730.285,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2017,417.607,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2017,329.178,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2017,293.399,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2017,83.368,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2017,37.231,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2017,26.628,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2017,831.396,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2017,40.708,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2017,15.053,,,,Repository: ILO-STATISTICS - Micro data processing
Afghanistan,"Employment by sex, age and education (thousands)",AFG - HIES - Living Condition Survey,Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2017,48.577,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2017,1.80121,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2017,30.46636,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2017,45.97326,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2017,17.41685,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2017,32.27628,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2017,478.16097,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2017,378.90951,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Albania,"Employment by sex, age and education (thousands)",ALB - LFS - Labour Force Survey,Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2017,209.96896,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding both institutional population and armed forces and/or conscripts
